Title	Published_date	Views	Likes	Comments
锦衣之下 有声小说 第 02 集	2020-08-09	4001	21	1
《致我们单纯的小美好》有声小说 第 15 集	2020-08-09	163	1	0
《致我们单纯的小美好》有声小说 第 14 集	2020-08-09	186	0	0
《致我们单纯的小美好》有声小说 第 13 集	2020-08-09	198	1	0
《致我们单纯的小美好》有声小说 第 12 集	2020-08-09	200	0	0
《致我们单纯的小美好》有声小说 第 11 集	2020-08-09	188	0	0
《致我们暖暖的小时光》有声小说 第 19 集	2020-08-10	107	0	0
《致我们暖暖的小时光》有声小说 第 18 集	2020-08-10	107	0	0
《致我们暖暖的小时光》有声小说 第 16 集	2020-08-10	126	0	0
《致我们暖暖的小时光》有声小说 第 17 集	2020-08-10	162	1	0
《致我们暖暖的小时光》有声小说 第 15 集	2020-08-10	105	0	0
《致我们暖暖的小时光》有声小说 第 14 集	2020-08-10	97	0	0
《致我们暖暖的小时光》有声小说 第 13 集	2020-08-10	106	0	0
《致我们暖暖的小时光》有声小说 第 12 集	2020-08-10	106	0	0
《致我们暖暖的小时光》有声小说 第 11 集	2020-08-10	101	0	0
《致我们暖暖的小时光》有声小说 第 10 集	2020-08-10	106	0	0
《致我们暖暖的小时光》有声小说 第 09 集	2020-08-10	104	0	0
《致我们暖暖的小时光》有声小说 第 08 集	2020-08-10	118	1	0
《致我们暖暖的小时光》有声小说 第 07 集	2020-08-10	122	0	0
《致我们单纯的小美好》有声小说 第 25 集	2020-08-10	433	1	0
《致我们单纯的小美好》有声小说 第 24 集	2020-08-10	201	1	0
《致我们单纯的小美好》有声小说 第 23 集	2020-08-10	178	0	0
锦衣之下 有声小说 第 20 集	2020-08-10	1732	10	0
锦衣之下 有声小说 第 19 集	2020-08-10	1686	12	0
《致我们单纯的小美好》有声小说 第 20 集	2020-08-10	167	0	0
《致我们单纯的小美好》有声小说 第 19 集	2020-08-10	163	0	0
《致我们单纯的小美好》有声小说 第 18 集	2020-08-10	169	0	0
《致我们单纯的小美好》有声小说 第 17 集	2020-08-10	165	0	0
《致我们单纯的小美好》有声小说 第 16 集	2020-08-10	189	1	0
我只喜欢你 原著小说  第 10 集【我不喜欢这世界，我只喜欢你】	2020-08-10	225	3	0
我只喜欢你 原著小说  第 09 集【我不喜欢这世界，我只喜欢你】	2020-08-10	323	4	0
我只喜欢你 原著小说  第 11 集【我不喜欢这世界，我只喜欢你】	2020-08-10	309	2	0
我只喜欢你 原著小说  第 15 集【我不喜欢这世界，我只喜欢你】	2020-08-10	271	2	0
我只喜欢你 原著小说  第 14 集【我不喜欢这世界，我只喜欢你】	2020-08-10	185	1	0
我只喜欢你 原著小说  第 16 集【我不喜欢这世界，我只喜欢你】	2020-08-10	208	1	0
我只喜欢你 原著小说  第 17 集【我不喜欢这世界，我只喜欢你】	2020-08-10	208	1	0
《皇后无德》有声小说 第 09 集	2020-08-11	1791	4	0
《皇后无德》有声小说 第 08 集	2020-08-11	1778	5	0
《皇后无德》有声小说 第 07 集	2020-08-11	1884	5	0
《皇后无德》有声小说 第 06 集	2020-08-11	2240	4	0
《皇后无德》有声小说 第 05 集	2020-08-11	2363	8	0
《皇后无德》有声小说 第 04 集	2020-08-11	2668	5	0
《皇后无德》有声小说 第 03 集	2020-08-11	2864	7	0
《皇后无德》有声小说 第 02 集	2020-08-11	3474	7	0
《皇后无德》有声小说 第 01 集	2020-08-11	11839	27	0
《致我们单纯的小美好》有声小说 第 22 集	2020-08-11	208	0	0
《致我们单纯的小美好》有声小说 第 21 集	2020-08-11	162	0	0
《皇后无德》有声小说 第 24 集	2020-08-12	1616	3	0
《皇后无德》有声小说 第 23 集	2020-08-12	1602	3	0
《皇后无德》有声小说 第 22 集	2020-08-12	1676	5	0
《皇后无德》有声小说 第 21 集	2020-08-12	1607	1	0
《皇后无德》有声小说 第 20 集	2020-08-12	1703	2	0
《皇后无德》有声小说 第 19 集	2020-08-12	1587	4	0
《皇后无德》有声小说 第 18 集	2020-08-12	1563	3	0
《皇后无德》有声小说 第 17 集	2020-08-12	1641	3	0
《皇后无德》有声小说 第 16 集	2020-08-12	1603	2	0
《皇后无德》有声小说 第 15 集	2020-08-12	1605	3	0
《皇后无德》有声小说 第 14 集	2020-08-12	1657	3	0
《皇后无德》有声小说 第 13 集	2020-08-12	1584	1	0
《皇后无德》有声小说 第 12 集	2020-08-12	1686	5	1
《皇后无德》有声小说 第 11 集	2020-08-12	1870	5	0
《皇后无德》有声小说 第 10 集	2020-08-12	1779	6	0
《致我们单纯的小美好》有声小说 第 49 集	2020-08-13	225	0	0
《致我们单纯的小美好》有声小说 第 48 集	2020-08-13	139	0	0
《致我们单纯的小美好》有声小说 第 47 集	2020-08-13	119	0	0
《致我们单纯的小美好》有声小说 第 46 集	2020-08-13	140	0	0
《致我们单纯的小美好》有声小说 第 45 集	2020-08-13	125	1	0
《致我们单纯的小美好》有声小说 第 44 集	2020-08-13	140	0	0
《致我们单纯的小美好》有声小说 第 43 集	2020-08-13	136	0	0
《致我们单纯的小美好》有声小说 第 42 集	2020-08-13	144	0	0
《致我们单纯的小美好》有声小说 第 41 集	2020-08-13	134	0	0
《致我们单纯的小美好》有声小说 第 40 集	2020-08-13	140	0	0
《致我们单纯的小美好》有声小说 第 39 集	2020-08-13	145	0	0
《致我们单纯的小美好》有声小说 第 38 集	2020-08-13	158	0	0
《致我们单纯的小美好》有声小说 第 37 集	2020-08-13	131	0	0
《致我们单纯的小美好》有声小说 第 36 集	2020-08-13	148	0	0
《致我们单纯的小美好》有声小说 第 35 集	2020-08-13	125	0	0
《致我们单纯的小美好》有声小说 第 34 集	2020-08-13	129	0	0
《致我们单纯的小美好》有声小说 第 33 集	2020-08-13	135	0	0
《致我们单纯的小美好》有声小说 第 32 集	2020-08-13	135	0	0
《致我们单纯的小美好》有声小说 第 31 集	2020-08-13	144	0	0
《致我们单纯的小美好》有声小说 第 30 集	2020-08-13	172	1	0
《致我们单纯的小美好》有声小说 第 29 集	2020-08-13	170	0	0
《致我们单纯的小美好》有声小说 第 28 集	2020-08-13	169	0	0
《致我们单纯的小美好》有声小说 第 27 集	2020-08-13	183	1	0
《致我们单纯的小美好》有声小说 第 26 集	2020-08-13	167	0	0
《我的邻居是腹黑》有声小说 第 11 集	2020-08-13	250	0	0
《我的邻居是腹黑》有声小说 第 10 集	2020-08-13	250	0	0
《我的邻居是腹黑》有声小说 第 09 集	2020-08-13	252	1	0
《我的邻居是腹黑》有声小说 第 08 集	2020-08-13	274	0	0
《我的邻居是腹黑》有声小说 第 07 集	2020-08-13	264	1	0
《我的邻居是腹黑》有声小说 第 06 集	2020-08-13	316	0	0
《我的邻居是腹黑》有声小说 第 04 集	2020-08-13	425	0	0
《我的邻居是腹黑》有声小说 第 05 集	2020-08-13	349	0	0
《我的邻居是腹黑》有声小说 第 02 集	2020-08-13	1111	3	0
《皇后无德》有声小说 第 29 集	2020-08-13	1812	5	0
《皇后无德》有声小说 第 28 集	2020-08-13	1666	4	0
《皇后无德》有声小说 第 27 集	2020-08-13	1651	4	0
《皇后无德》有声小说 第 26 集	2020-08-13	1723	4	0
《皇后无德》有声小说 第 25 集	2020-08-13	1704	1	0
《倾其所有去爱你》有声小说 第 19 集	2020-08-14	186	0	0
《倾其所有去爱你》有声小说 第 18 集	2020-08-14	195	0	0
《倾其所有去爱你》有声小说 第 17 集	2020-08-14	207	0	0
《倾其所有去爱你》有声小说 第 16 集	2020-08-14	213	0	0
《倾其所有去爱你》有声小说 第 15 集	2020-08-14	205	0	0
《倾其所有去爱你》有声小说 第 14 集	2020-08-14	214	1	0
《倾其所有去爱你》有声小说 第 13 集	2020-08-14	220	0	0
《倾其所有去爱你》有声小说 第 12 集	2020-08-14	224	0	0
《倾其所有去爱你》有声小说 第 11 集	2020-08-14	230	1	0
《倾其所有去爱你》有声小说 第 10 集	2020-08-14	220	0	0
《倾其所有去爱你》有声小说 第 09 集	2020-08-14	234	0	0
《倾其所有去爱你》有声小说 第 08 集	2020-08-14	248	0	0
《倾其所有去爱你》有声小说 第 07 集	2020-08-14	269	1	0
《倾其所有去爱你》有声小说 第 06 集	2020-08-14	252	0	0
《倾其所有去爱你》有声小说 第 05 集	2020-08-14	300	0	0
《倾其所有去爱你》有声小说 第 04 集	2020-08-14	358	1	0
《倾其所有去爱你》有声小说 第 03 集	2020-08-14	376	1	0
《倾其所有去爱你》有声小说 第 02 集	2020-08-14	439	0	0
《倾其所有去爱你》有声小说 第 01 集	2020-08-14	1449	1	0
《致我们暖暖的小时光》有声小说 第 29 集	2020-08-15	161	0	0
《致我们暖暖的小时光》有声小说 第 28 集	2020-08-15	89	0	0
《致我们暖暖的小时光》有声小说 第 27 集	2020-08-15	97	0	0
《致我们暖暖的小时光》有声小说 第 26 集	2020-08-15	115	0	0
《致我们暖暖的小时光》有声小说 第 25 集	2020-08-15	140	1	0
《致我们暖暖的小时光》有声小说 第 24 集	2020-08-15	87	0	0
《致我们暖暖的小时光》有声小说 第 23 集	2020-08-15	90	0	0
《致我们暖暖的小时光》有声小说 第 22 集	2020-08-15	86	0	0
《致我们暖暖的小时光》有声小说 第 21 集	2020-08-15	92	0	0
《致我们暖暖的小时光》有声小说 第 20 集	2020-08-15	91	0	0
sleep music with rain | liziqi background music 李子柒背景音乐 | one-hour oriental music	2020-08-15	8306	127	5
《皇后无德》有声小说 第 34 集	2020-08-15	1757	7	2
《皇后无德》有声小说 第 33 集	2020-08-15	1630	1	0
《皇后无德》有声小说 第 32 集	2020-08-15	1553	2	0
《皇后无德》有声小说 第 31 集	2020-08-15	1618	3	1
《皇后无德》有声小说 第 30 集	2020-08-15	1695	1	0
锦衣之下 有声小说 第 46 集	2020-08-16	1938	16	0
锦衣之下 有声小说 第 45 集	2020-08-16	2076	11	0
锦衣之下 有声小说 第 44 集	2020-08-16	2021	13	0
锦衣之下 有声小说 第 43 集	2020-08-16	2072	17	3
锦衣之下 有声小说 第 42 集	2020-08-16	1746	13	0
锦衣之下 有声小说 第 41 集	2020-08-16	1857	15	3
《皇后无德》有声小说 第 49 集	2020-08-16	1789	3	0
《皇后无德》有声小说 第 48 集	2020-08-16	1769	5	1
《皇后无德》有声小说 第 47 集	2020-08-16	1667	3	0
《皇后无德》有声小说 第 46 集	2020-08-16	1633	3	0
《皇后无德》有声小说 第 45 集	2020-08-16	1672	2	0
《皇后无德》有声小说 第 44 集	2020-08-16	1690	4	0
《皇后无德》有声小说 第 43 集	2020-08-16	1680	3	0
《皇后无德》有声小说 第 42 集	2020-08-16	1616	2	0
《皇后无德》有声小说 第 41 集	2020-08-16	1621	0	0
《皇后无德》有声小说 第 40 集	2020-08-16	1781	5	0
《皇后无德》有声小说 第 39 集	2020-08-16	1705	3	0
《皇后无德》有声小说 第 38 集	2020-08-16	2096	5	0
《皇后无德》有声小说 第 37 集	2020-08-16	1662	1	0
《皇后无德》有声小说 第 36 集	2020-08-16	1640	3	0
《皇后无德》有声小说 第 35 集	2020-08-16	1849	6	0
《偷偷藏不住》第 13 集 有声小说	2020-08-17	6190	35	0
《偷偷藏不住》第 11 集 有声小说	2020-08-17	7014	41	1
《偷偷藏不住》第 12 集 有声小说	2020-08-17	6773	42	1
《偷偷藏不住》第 10 集 有声小说	2020-08-17	6561	44	2
《偷偷藏不住》第 09 集 有声小说	2020-08-17	6692	37	0
《偷偷藏不住》第 08 集 有声小说	2020-08-17	6439	32	1
《偷偷藏不住》第 07 集 有声小说	2020-08-17	7562	36	2
《偷偷藏不住》第 06 集 有声小说	2020-08-17	8935	39	1
《偷偷藏不住》第 05 集 有声小说	2020-08-17	8528	44	0
《偷偷藏不住》第 04 集 有声小说	2020-08-17	9463	51	0
《偷偷藏不住》第 03 集 有声小说	2020-08-17	13098	59	0
《偷偷藏不住》第 02 集 有声小说	2020-08-17	17143	96	1
《偷偷藏不住》第 01 集 有声小说	2020-08-17	68697	328	16
《陛下请自重/陛下请淡定》第 19 集 有声小说	2020-08-17	1762	11	0
《陛下请自重/陛下请淡定》第 18 集 有声小说	2020-08-17	1834	9	0
《陛下请自重/陛下请淡定》第 17 集 有声小说	2020-08-17	1802	9	0
《陛下请自重/陛下请淡定》第 16 集 有声小说	2020-08-17	1778	10	0
《陛下请自重/陛下请淡定》第 15 集 有声小说	2020-08-17	1835	9	0
《陛下请自重/陛下请淡定》第 14 集 有声小说	2020-08-17	1873	12	0
《陛下请自重/陛下请淡定》第 13 集 有声小说	2020-08-17	1771	10	0
《陛下请自重/陛下请淡定》第 12 集 有声小说	2020-08-17	1881	11	0
《陛下请自重/陛下请淡定》第 11 集 有声小说	2020-08-17	1927	12	0
《陛下请自重/陛下请淡定》第 10 集 有声小说	2020-08-17	2161	11	0
《陛下请自重/陛下请淡定》第 09 集 有声小说	2020-08-17	1957	11	0
《陛下请自重/陛下请淡定》第 08 集 有声小说	2020-08-17	1974	14	0
《陛下请自重/陛下请淡定》第 07 集 有声小说	2020-08-17	2020	16	0
《陛下请自重/陛下请淡定》第 06 集 有声小说	2020-08-17	2280	14	0
《陛下请自重/陛下请淡定》第 05 集 有声小说	2020-08-17	2452	8	0
《陛下请自重/陛下请淡定》第 04 集 有声小说	2020-08-17	2682	14	0
《陛下请自重/陛下请淡定》第 03 集 有声小说	2020-08-17	3181	19	0
《陛下请自重/陛下请淡定》第 02 集 有声小说	2020-08-17	3801	16	0
《陛下请自重/陛下请淡定》第 01 集 有声小说	2020-08-17	11866	44	1
锦衣之下 有声小说 第 49 集	2020-08-17	1979	13	0
锦衣之下 有声小说 第 48 集	2020-08-17	1865	13	0
锦衣之下 有声小说 第 47 集	2020-08-17	1966	16	0
《偷偷藏不住》第 14 集 有声小说	2020-08-18	6093	43	0
《大约是爱》第 11 集 有声小说	2020-08-18	85	1	1
《大约是爱》第 10 集 有声小说	2020-08-18	51	0	0
《大约是爱》第 09 集 有声小说	2020-08-18	34	1	0
《大约是爱》第 08 集 有声小说	2020-08-18	26	0	0
《大约是爱》第 07 集 有声小说	2020-08-18	59	0	0
《大约是爱》第 06 集 有声小说	2020-08-18	40	0	0
《大约是爱》第 05 集 有声小说	2020-08-18	80	0	0
《大约是爱》第 04 集 有声小说	2020-08-18	71	0	0
《大约是爱》第 03 集 有声小说	2020-08-18	61	0	0
《我家二爷》第 01 集 有声小说	2020-08-18	1885	7	0
《大约是爱》第 02 集 有声小说	2020-08-18	75	0	0
《大约是爱》第 01 集 有声小说	2020-08-18	568	0	0
《亲爱的，热爱的》原著小说 《蜜汁炖鱿鱼》 第 09集 有声小说	2020-08-19	729	4	0
《亲爱的，热爱的》原著小说 《蜜汁炖鱿鱼》 第 08集 有声小说	2020-08-19	484	1	0
《亲爱的，热爱的》原著小说 《蜜汁炖鱿鱼》 第 07集 有声小说	2020-08-19	508	1	0
《亲爱的，热爱的》原著小说 《蜜汁炖鱿鱼》 第 06集 有声小说	2020-08-19	424	2	0
《亲爱的，热爱的》原著小说 《蜜汁炖鱿鱼》 第 05集 有声小说	2020-08-19	468	1	0
《亲爱的，热爱的》原著小说 《蜜汁炖鱿鱼》 第 04集 有声小说	2020-08-19	501	2	0
《亲爱的，热爱的》原著小说 《蜜汁炖鱿鱼》 第 03集 有声小说	2020-08-19	643	2	0
《亲爱的，热爱的》原著小说 《蜜汁炖鱿鱼》 第 02集 有声小说	2020-08-19	787	2	0
《亲爱的，热爱的》原著小说 《蜜汁炖鱿鱼》 第 01集 有声小说	2020-08-19	2973	15	0
《偷偷藏不住》第 29 集 有声小说	2020-08-19	7603	56	0
《偷偷藏不住》第 28 集 有声小说	2020-08-19	7424	51	1
《偷偷藏不住》第 27 集 有声小说	2020-08-19	7461	67	2
《偷偷藏不住》第 26 集 有声小说	2020-08-19	7230	52	0
《偷偷藏不住》第 25 集 有声小说	2020-08-19	7303	44	0
《偷偷藏不住》第 24 集 有声小说	2020-08-19	6539	53	2
《偷偷藏不住》第 23 集 有声小说	2020-08-19	7219	56	4
《偷偷藏不住》第 22 集 有声小说	2020-08-19	6275	57	1
《偷偷藏不住》第 21 集 有声小说	2020-08-19	6300	41	0
《偷偷藏不住》第 20 集 有声小说	2020-08-19	7317	42	1
《皇后无德》有声小说 第 59 集	2020-08-19	2141	8	0
《皇后无德》有声小说 第 58 集	2020-08-19	1710	6	0
《皇后无德》有声小说 第 57 集	2020-08-19	1703	8	0
《皇后无德》有声小说 第 56 集	2020-08-19	2050	7	0
《皇后无德》有声小说 第 55 集	2020-08-19	1737	5	0
《皇后无德》有声小说 第 54 集	2020-08-19	1755	3	0
《皇后无德》有声小说 第 53 集	2020-08-19	1662	3	0
《皇后无德》有声小说 第 52 集	2020-08-19	1829	6	0
《皇后无德》有声小说 第 51 集	2020-08-19	1940	4	0
《皇后无德》有声小说 第 50 集	2020-08-19	1908	3	0
《陛下请自重/陛下请淡定》第 29 集 有声小说	2020-08-19	1739	11	0
《陛下请自重/陛下请淡定》第 28 集 有声小说	2020-08-19	1644	11	0
《陛下请自重/陛下请淡定》第 27 集 有声小说	2020-08-19	1544	7	0
《陛下请自重/陛下请淡定》第 26 集 有声小说	2020-08-19	1620	7	0
《陛下请自重/陛下请淡定》第 25 集 有声小说	2020-08-19	1647	6	0
《陛下请自重/陛下请淡定》第 24 集 有声小说	2020-08-19	1703	10	0
《陛下请自重/陛下请淡定》第 23 集 有声小说	2020-08-19	1674	9	0
《陛下请自重/陛下请淡定》第 22 集 有声小说	2020-08-19	1648	11	0
《陛下请自重/陛下请淡定》第 21 集 有声小说	2020-08-19	1649	8	0
《陛下请自重/陛下请淡定》第 20 集 有声小说	2020-08-19	1806	11	0
《偷偷藏不住》第 19 集 有声小说	2020-08-19	6142	36	0
《偷偷藏不住》第 18 集 有声小说	2020-08-19	6434	37	0
《偷偷藏不住》第 17 集 有声小说	2020-08-19	5868	32	0
